301.00 16.094
303.00 16.093
305.00 16.092
307.00 16.092
309.00 16.108
311.00 16.098
313.00 16.093
315.00 16.108
317.00 16.107
319.00 16.078
321.00 16.102
323.00 16.079
325.00 16.105
327.00 16.120
329.00 16.121
331.00 16.130
333.00 16.120
335.00 16.116
337.00 16.110
339.00 16.121
341.00 16.128
343.00 16.133
345.00 16.133
347.00 16.128
349.00 16.127
351.00 16.138
353.00 16.138
355.00 16.151
357.00 16.132
359.00 16.134
361.00 16.137
363.00 16.141
364.00 16.135
365.00 16.152
367.00 16.144
369.00 16.159
371.00 16.256
373.00 16.345
375.00 16.496
377.00 16.531
379.00 16.625
381.00 16.689
383.00 16.584
385.00 16.719
387.00 16.759
389.00 16.542
391.00 16.739
393.00 16.569
395.00 16.714
397.00 16.444
399.00 16.730
401.00 16.757
403.00 16.750
405.00 16.744
407.00 16.733
409.00 16.676
411.00 16.566
413.00 16.721
415.00 16.733
417.00 16.723
419.00 16.720
421.00 16.716
423.00 16.705
425.00 16.707
427.00 16.690
429.00 16.694
431.00 16.670
433.00 16.598
435.00 16.529
437.00 16.674
439.00 16.672
441.00 16.663
443.00 16.656
445.00 16.661
447.00 16.659
449.00 16.654
451.00 16.662
453.00 16.644
455.00 16.638
457.00 16.648
459.00 16.630
461.00 16.639
463.00 16.626
465.00 16.628
467.00 16.626
469.00 16.610
471.00 16.597
473.00 16.611
475.00 16.610
477.00 16.600
479.00 16.598
481.00 16.591
483.00 16.581
485.00 16.503
487.00 16.408
489.00 16.559
491.00 16.566
493.00 16.557
495.00 16.563
497.00 16.563
499.00 16.546
501.00 16.530
503.00 16.539
505.00 16.532
507.00 16.537
509.00 16.531
511.00 16.528
513.00 16.519
515.00 16.510
517.00 16.502
519.00 16.499
521.00 16.498
523.00 16.494
525.00 16.497
527.00 16.474
529.00 16.487
531.00 16.479
533.00 16.469
535.00 16.476
537.00 16.473
539.00 16.466
541.00 16.458
543.00 16.458
545.00 16.460
547.00 16.454
549.00 16.450
551.00 16.445
553.00 16.442
555.00 16.440
557.00 16.435
559.00 16.430
561.00 16.428
563.00 16.426
565.00 16.420
567.00 16.414
569.00 16.413
571.00 16.409
573.00 16.411
575.00 16.404
577.00 16.401
579.00 16.396
581.00 16.393
583.00 16.390
585.00 16.386
587.00 16.382
589.00 16.373
591.00 16.374
593.00 16.370
595.00 16.366
597.00 16.364
599.00 16.358
