0.0	0.4	0.34390136152263423
0.02	0.412	0.36532459164538106
0.04	0.424	0.382710518367054
0.06	0.436	0.39879707385261587
0.08	0.448	0.4141387706412489
0.1	0.46	0.42896559734839795
0.12	0.472	0.44341311431891434
0.14	0.484	0.45756738834308697
0.16	0.496	0.4714867996696106
0.18	0.508	0.4852131914332201
0.2	0.52	0.4987778211846349
0.22	0.532	0.5122047732535432
0.24	0.544	0.5255130576020415
0.26	0.556	0.5387179748970601
0.28	0.568	0.5518320424629238
0.3	0.58	0.5648656431844152
0.32	0.592	0.5778274925274541
0.34	0.604	0.5907249823554827
0.36	0.616	0.6035644390759598
0.38	0.628	0.6163513208454446
0.4	0.64	0.6290903705413661
0.42	0.652	0.6417857360454464
0.44	0.664	0.6544410659788898
0.46	0.676	0.667059586734546
0.48	0.688	0.6796441650731667
0.5	0.7	0.6921973594457134
0.52	0.712	0.704721462416635
0.54	0.724	0.7172185359939921
0.56	0.736	0.7296904412551342
0.58	0.748	0.7421388633468987
0.6	0.76	0.7545653327066398
0.62	0.772	0.7669712431737682
0.64	0.784	0.779357867526039
0.66	0.796	0.7917263708700155
0.68	0.808	0.804077822233334
0.7000000000000005	0.82	0.8164132046420464
0.7200000000000005	0.832	0.8287334239152848
0.7400000000000005	0.844	0.8410393163688059
0.7600000000000006	0.856	0.8533316555862247
0.7800000000000006	0.868	0.865611158390323
0.8000000000000006	0.88	0.8778784901253068
0.8200000000000006	0.892	0.8901342693432822
0.8400000000000006	0.904	0.9023790719737985
0.8600000000000007	0.916	0.9146134350433308
0.8800000000000007	0.928	0.926837860001696
0.9000000000000007	0.9400000000000005	0.9390528157041135
0.9200000000000007	0.9520000000000005	0.95125874109073
0.9400000000000007	0.9640000000000005	0.9634560475995866
0.9600000000000007	0.9760000000000005	0.975645121344134
0.9800000000000008	0.9880000000000005	0.9878263250822252
