538.0	0.0
540.0	0.002
542.0	0.005
544.0	0.011
546.0	0.023
548.0	0.045
550.0	0.075
552.0	0.118
554.0	0.164
556.0	0.212
558.0	0.257
560.0	0.298
562.0	0.337
564.0	0.372
566.0	0.404
568.0	0.433
570.0	0.453
572.0	0.467
574.0	0.477
576.0	0.487
578.0	0.495
580.0	0.502
582.0	0.507
584.0	0.512
586.0	0.516
588.0	0.519
590.0	0.521
592.0	0.524
594.0	0.526
596.0	0.529
598.0	0.531
600.0	0.532
602.0	0.534
604.0	0.535
606.0	0.536
608.0	0.537
610.0	0.536
612.0	0.535
614.0	0.534
616.0	0.533
618.0	0.533
620.0	0.536
622.0	0.538
624.0	0.541
626.0	0.543
628.0	0.545
630.0	0.546
632.0	0.547
634.0	0.548
636.0	0.549
638.0	0.549
640.0	0.548
642.0	0.547
644.0	0.546
646.0	0.546
648.0	0.545
650.0	0.545
652.0	0.545
654.0	0.545
656.0	0.544
658.0	0.542
660.0	0.539
662.0	0.532
664.0	0.519
666.0	0.499
668.0	0.468
670.0	0.423
672.0	0.369
674.0	0.303
676.0	0.234
678.0	0.172
680.0	0.121
682.0	0.084
684.0	0.056
686.0	0.037
688.0	0.027
690.0	0.02
692.0	0.013
694.0	0.01
696.0	0.008
698.0	0.005
700.0	0.004
702.0	0.002
704.0	0.0
